gene	CZJE_PBMC	G4YW_CD8_TE	G4YW_MAIT	G4YW_VD2+	G4YW_VD2-	G4YW_TFH	G4YW_Treg	G4YW_Th1	G4YW_Th1/Th17	G4YW_Th17	G4YW_Th2	G4YW_CD4_naive	G4YW_Progenitor	G4YW_B_naive	G4YW_B_NSM	G4YW_B_Ex	G4YW_B_SM	G4YW_Plasmablasts	G4YW_C_mono	G4YW_I_mono	G4YW_NC_mono	G4YW_NK	G4YW_pDC	G4YW_mDC	G4YW_Neutrophils	G4YW_Basophils	DZQV_PBMC	925L_PBMC	9JD4_PBMC	G4YW_PBMC	4DUY_PBMC	36TS_PBMC	CR3L_PBMC
HELZ	0.393505	0	1.81666	2.59114	0.605385	0.310098	0.718682	1.05163	0	0.336136	1.30899	0	1.14502	0	1.57988	0.183685	0.0266582	0.133562	2.04946	1.27737	1.12717	0	0.638218	0.757891	0	1.78598	0.435715	1.51855	0	1.9495	2.27682	1.0227	1.88703
TRIP11	0.780274	1.66029	2.88325	1.84398	2.54631	2.64071	1.92943	2.48379	4.15371	2.7398	2.36979	2.84172	5.96319	2.11136	1.75824	0.980222	2.20049	0.635227	2.58632	0.868456	1.47124	2.4759	2.63524	1.85169	14.2358	3.85495	1.26473	1.74994	1.29693	1.34241	0.802506	1.66891	0.776288
DYNC1H1	4.99367	0.806909	6.35427	2.47063	2.81269	0	0	1.36149	0	2.84965	0	0.00749263	1.74673	1.99751	5.66285	6.76673	7.03133	0	49.056	20.2443	14.9939	2.63731	6.43537	2.96721	247.568	1.52112	10.5405	11.2946	13.1613	17.6235	11.2654	22.5257	11.4555
ZNF518A	0	0	0	0	0	0	0	0.948944	0	1.38526	0	2.58008	2.61754	0	0	6.90366	2.08193	0.235849	40.8085	28.8978	16.4725	0	3.4613	8.11925	168.119	0	13.3586	12.1574	2.4716	13.1158	8.02697	12.1746	2.68275
KIAA1109	0	0	0	0	0	0.517854	0	0	0	0	0	0	0	0	0	0	1.06167	0	0	0	2.33563	0	0	0	0	0	0	0	1.05747	6.56994	1.02557	0	0
WDR11	4.26767	12.39745	11.81333	5.823047	17.302574	8.32817	8.073207	2.591379	12.71791	2.19914	12.11555	10.6296	27.37859	6.57318	3.020542	2.63674	6.47139	0.731412	21.81965	11.14141	8.69802	17.282069	9.811739	1.987977	111.50165	15.549142	7.86544	8.12192	3.46073	6.84867	4.52795	6.44365	9.45454
RANGAP1	0.997508	0	0.252845	0	1.15149	0	0.280325	0	1.46984	0.415199	0	0.906664	0.581048	0.216928	1.33512	0.239273	2.23183	0.320004	9.54147	6.78947	2.96249	0	0	0	49.2679	0.361755	0.469042	2.13926	0.233764	3.07623	0.705381	2.37073	1.51472
DST	3.7912	2.17135	4.16534	3.25296	3.63264	6.86968	5.81066	5.10747	7.2523	1.38817	9.13638	3.31055	7.46304	4.54777	5.73545	3.70817	4.0966	0.477561	28.7764	23.9978	13.8143	2.08289	6.2034	6.29919	164.162	0	6.68259	12.1925	5.23468	9.10034	8.67782	3.60485	6.149
HUWE1	1.08629	0	0	0	0	0	0	0.141367	0	0	0	0	0	0	0	0.256261	0	0	0	0	0	0	0.859111	0	0	0	0.990072	4.28598	5.44194	2.12198	5.49453	4.07299	6.56E-05
SYNE2	7.61722	9.16986	4.3135	4.19305	9.24484	9.49547	9.23687	6.28488	8.6131	5.985	10.4113	7.2072	11.5218	4.76102	5.22561	5.22767	6.72985	1.62379	7.66053	8.75911	11.282	11.7445	7.06528	9.14939	5.5125	5.12705	4.99588	6.95893	4.33412	10.1507	5.91134	7.4372	7.2135
PPARGC1A	0	0	0	0	0	0	6.46942	0.197958	0	0	2.15973	0	0	1.67039	0	0	0	0	0	0	1.91028	0	0	1.67461	0	0	0	0	0	0	1.85684	0	0
PTMS	7.888272	6.985252	8.651781	5.562858	4.409116	8.178911	7.742596	8.6060617	8.526209	2.126215037	5.851976	7.15245	7.666068	4.547487	3.860936	5.136448	3.422051	1.29527	10.178196	8.384137	3.205523	3.68129	4.4230033	6.266867	20.69506	17.196461	6.157878	7.84885	2.0508033	5.245816	5.849043	4.349745	4.732488409
GOLGB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99178	0	0	0	1.7001	0	0	0	0
RNU4-2	1.46241	1.57415	4.52465	8.86188	0.50646	0	0	0	7.42875	0	0	0	0	0	1.32735	0.709159	0	0	0	0	6.50513	0	1.80209	0.66217	0	0	0	0	0	2.69655	2.70501	3.37336	0.619206
LRRC28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296521	0	0	0	0	0	0
AKAP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3C3	12.963718	35.36744802	38.88741006	28.931748	32.010306	35.21973	36.694684	64.5916	35.98582	50.925445	34.54798783	50.62414	41.11171728	29.0778619	30.923741	36.82620136	24.08078759	13.772193	71.83977	29.6796	50.85126	46.3026403	27.027723	26.666665	244.61577	42.320106	24.67291691	21.59564814	10.410426	30.48363	35.173812	25.771831	18.918762
MACF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35A5	0	0	0	0	0	0	0	1.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLNB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKLN1	0.0416835	0	0	0	0	0	0	0	9.36E-08	0	0	0	0	0	0.196698	0	0	0	0.0551256	0	0	0.221929	0	0.439242	0	0.52405	0.0436123	0	0	0.00176248	0	0	0
KIDINS220	0	0.45167	0	0.702614	0.250363	1.15282	0.214966	0.472113	1.38033	0	1.53311	0	1.66419	2.09862	0	0	0	0	8.66073	4.01581	6.14755	1.08128	0.810854	1.28347	47.3186	0	1.12388	3.84007	2.16215	2.70138	0.0628517	3.20067	2.59483
SNORD89	0.997508	0	0.252845	0	1.15149	0	0.280325	0	1.46984	0.415199	0	0.906664	0.581048	0.216928	1.33512	0.239273	2.23183	0.320004	9.54147	6.78947	2.96249	0	0	0	49.2679	0.361755	0.469042	2.13926	0.233764	3.07623	0.705381	2.37073	1.51472
ADH5	3.736482326	3.329886	1.973959	3.71406	2.645438	2.458413	1.22664	2.43358	2.97816	3.20288	1.304531	4.231472	2.61884833	4.79075	2.630949	2.120057	1.45574	0.113284	4.029166	3.79981	1.594991	3.7189617	0.841566	1.01306	5.710345	5.707551931	2.897127	3.222352	2.203596	1.655239	1.176877	1.214025401	1.921476
TMX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC31A	21.3378	19.4836	19.6962	17.4022	14.1042	12.218	9.1371	20.42	5.78658	12.7317	25.9592	4.1221	9.2204	22.5807	36.5124	17.7482	18.9161	17.334	8.99625	8.62717	7.32808	9.73878	12.1793	8.00484	1.42653	28.6602	7.49415	1575.3	9.0378	22.2567	37.1159	20.3942	16.5275
SMARCA1	89.9069	62.6322	107.132	118.138	90.5974	76.8793	78.1058	90.7158	90.1853	51.1454	55.9617	63.3094	54.041	106.978	86.3213	72.6315	89.2224	28.0517	41.3741	74.5049	37.5368	43.6418	32.8197	33.8646	6.31961	65.7905	62.9733	183.816	88.7896	90.6761	92.4145	113.406	122.659
CNOT1	2.7348	2.7778	2.82381	2.81478	1.90064	1.89423	2.4356	1.39293	2.89922	1.54665	4.08288	0.96843	3.56828	2.49678	4.03115	1.53395	4.19302	2.47234	3.35289	3.999	2.57293	2.21666	2.1168	2.33286	0	1.0561	2.66185	2.92416	4.32749	3.50662	3.85269	4.99366	2.43163
TMEM127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80443	0	2.56221	0	0	0	0	0	0	0	0	0	0	0
SCARNA2	0.975141	0.652909	0	0.664788	0.334713	0.359967	0.630732	0	0.59144	0	0.700672	0.80413	0.655553	0.322348	0.60386	0.939508	0.605608	0.170259	0	0.59079	0.301188	0	0.517953	0.273164	0	0	0.212182	0.2407	0.410554	0.422743	0.86672	0.215119	0
FGD4	2.80588	4.77621	2.2043	2.38795	0	0	0	2.08507	0	0	0	2.94857	2.00783	1.98526	0	0	2.20697	1.02805	0	0	4.34825	1.82878	0	0	0	0	0	1.67527	0	1.50899	0	0	0
CTNNA1	427.7	388.481	574.965	742.551	540.067	394.792	457.65	534.715	496.934	379.819	383.382	437.319	402.724	667.175	611.933	499.513	708.261	282.822	301.975	382.876	333.134	360.439	298.928	443.465	38.6861	347.576	368.943	535.854	634.293	507.994	513.084	441.567	865.582
RNU5A-1	1.82765	85.9358	166.55	208.751	168.66	109.069	111.713	156.34	133.432	100.279	103.394	95.3938	108.264	176.72	141.273	139.888	221.048	93.4082	82.5085	91.5429	95.7145	106.412	69.924	141.133	5.63021	25.5073	1.01743	1.57459	3.08938	119.607	1.96082	2.0905	4.20777
ADNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF2	0	0	0	0	0	0	0	1.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNC2H1	2.05E-05	0.137246	0	0	0	0.266673	0.266943	0	0	0.47419	3.33E-05	0	0.157779	0.0720154	0	0	0	0	0	0	0	0	0	0	0	0	4.00E-05	0.349366	0	0	0	0	0
MYO6	2.80496	4.83622	6.8387	3.52402	3.91543	5.46518	5.6105	5.71852	4.7244	6.08394	4.68103	4.77553	7.4086	4.28545	5.39274	4.59159	3.98577	1.46352	17.5775	9.83958	10.1648	5.23355	5.08019	3.27777	78.5219	3.21261	4.93256	5.04693	5.23644	6.81162	5.45054	7.55459	5.5563
TMX2	0	0	0	0	0	0	0.280325	0	0	0.415199	0	0	0	3.68778	1.33512	0.239273	0	0	0	0	0	0	7.02488	0	0	0	0	0	0	0	0	0	0
MIR7641-2	4.29135	0	1.79378	0	2.44369	6.9254	0	6.18539	5.48223	2.79163	1.85168	0	4.5082	3.66815	10.601	5.59962	3.43342	0.239751	14.9145	3.65814	8.49716	2.1039	2.77511	0.907251	63.6512	9.20652	3.92416	6.398	0.881748	5.89574	0.972436	1.03599	0
SNORA74B	17.29364	44.55152	44.041317	51.688196	33.934091	32.602399	41.615797	24.318085	40.589922	54.110889	36.901275	46.4925	60.080207	50.190294	27.750318	22.3843693	36.805412	14.576925	22.69867718	21.9573	26.581985	42.365499	49.475314	19.674953	20.787932	43.175209	22.500499	37.521815	32.243743	22.64304	31.036052	11.698263	26.85259
ITM2A	7.534552	2.54371	15.57962	3.727849	0.850467	19.61452	3.993579	8.46546	11.30866	3.95337	4.160544	21.01454	7.61696	6.83271	6.585422	2.875754	3.06175	2.295929	1.69414	6.652783	2.041319	7.63553	12.43345	3.17438	4.72919	7.84017	0.629748	4.396726	10.41995	4.51246	5.60841	1.59685	1.992896
RNF141	0.595439	0.83518	1.72378	1.26108	0.743992	0.838035	1.91799	0.541696	0.443731	0.53801	0.281343	0.851222	0.672532	1.11437	0.236823	0.0648125	0.226402	0.0409003	1.13963	0.417979	0.718878	1.18018	1.01475	0.670018	0.312802	0.964236	0.558783	0.886772	0.631624	1.39813	0.561937	0.804128	0.349557
AEBP2	24.14749723	16.98652	23.681498	10.399633	17.885138	30.385401	23.816984	35.32971903	24.193279	31.58775	32.09021	40.78904282	12.388597	7.789636	13.636666	10.506739	12.245595	5.5524824	5.105609	6.138355	11.270948	15.514453	15.41489297	3.546809	0.888912	6.3511777	21.96775101	18.372248	13.55384109	12.376743	28.128884	12.5503	14.083644
GOLGA4	4.36157	5.53919	5.35607	4.71896	9.37182	4.2013	3.73058	2.62802	5.00877	3.67789	2.11256	3.35058	3.17005	4.71513	1.72556	1.56296	3.7734	1.0415	5.69913	3.27734	2.63508	3.62675	1.91175	3.59429	3.30937	4.33335	1.67327	2.08066	2.24037	2.08223	3.22784	3.55307	3.30478
MTRNR2L8	0.161931	0.171015	0.0751531	0	0	0.190592	0	0	0.369185	0.159837	0.491607	0.132073	0.139554	0.669311	0.0763142	0.142084	0.171878	0	0	0.317542	0.454435	0.06996	1.316797	0.145936	9.04714	0.588226	0.572567	0.6904624	0.331909	0.291093	0.992652	0.115486	0.154451
SMARCE1	0	0	0	0	0	0	0	0	0	0	0	0	0.258305	0.222535	0	0.917696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999858	0
COL6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAF1	0	0	0	0	0	0	0	0	0	0	0	0	6.25924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDM4	0.137297	0.0934956	0.089538	0.14132	0.148084	0.223835	0.317708	0.330659	0.087678	0.222675	0.10339	0.111941	1.05539	0.12054	0	0.242745	0.0875601	0.0418513	0.151885	0.12874	0.123016	0.154656	0.229569	0.195087	0.24649	0.434451	0.0305732	0.279104	0	0	1.41295	0.0898043	0.0874339
DUSP11	0.703857	1.70259	2.66421	1.6349	2.81047	2.04735	1.4315	2.24695	0.469301	1.01214	2.35204	3.47251	3.87929	3.22572	2.66178	1.84446	4.19237	0	1.85948	0.987264	0.597782	2.1492	0.407926	2.29675	1.48066	1.98994	1.07234	0.95204	0.385519	1.11488	2.15572	0.777061	1.04634
TERF2IP	0	0	0	0	0	0	0	0	0	0	0	0	0.737873	0	0	0	0	0	0	0	0.284045	0	0	0	0	0	0	0	0	0	0	0	0
CHD1	0	0.0831078	0	0.16651	0	0.176441	0.0662641	0.2128282	0.143231	0.547822	0	0.694564	0.282116	0.482524	0.0755933	0.1760217	0	0	0.132946	0.2238249	0.0756998	0.124033	0.0657998	0.2708253	0	0	0	0.471869	0.467258	0.538571	0	0.110385	0.312237
SGMS2	46.452919	55.39152	48.97383	35.43766	36.79816	40.55091151	41.801413	41.29317	60.49962	65.2765	48.08789	50.9323	55.95288	42.1266072	45.73023	42.69532	36.11978	20.869439	49.45027	45.10728	79.1934	49.17464904	52.14715	64.10145	3.724451	15.932485	47.74808	43.9252	41.96022	31.2932	45.76	40.6035984	45.021746
USP35	2.138922	4.177952	5.028332	1.5257524	4.47798	3.375827	3.148162	2.342252	1.1270821	4.342002	2.130553	2.524309	0.8316973	2.628415	1.523623	0.675918	2.04804	1.6739352	4.032999	0.981649	2.062414	6.15926	2.51341	2.458896	0.152271	0.237316	3.120519	2.810086	1.958325	2.594331	2.512004	1.530214	2.373188
CPQ	0.718597004	0.669843	2.423877	1.473152	1.149014	0.613055	3.239625	0.940105001	3.540703	4.33374	3.051295	0.347847	0	0.0536976	2.669541	0.996473	0	1.725539	3.5127779	0.510038	0.156752	1.648943	0	1.779946	0.2525446	0	1.331219	1.803724	0.643131029	1.02172	1.4157786	0.149006	1.359736
BIRC6	0.385868	0.254304	0.232815	0.383317	0.129665	0.13973	0.314714	0	0.574586	0.978384	0.135041	0	0	0	0.116073	0.091426	0	0.113825	0.421254	0	0	0.29671	0	0.105732	0	0	1.23523	0.496976	0.3227019	0.414302	0.225229	0.253919	0.261176
CLPX	0.203915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183439	1.16299	0	0	0	0	0	0.130699	0	0	0.0437318	0.0592373	0.0892972	0.062983
TMEM167A	0.112491	0	0	0	0	0	0	0	0	0	0.302935	0	0	0	0	0	0	0	0	5.623492	13.57177	0	0	0	0.7318605	0	0.239823	0.204282	0	0.3688317	0.758221	0.754632	0
EPM2AIP1	22.7554	21.853663	18.4695	25.03013	24.356741	25.9135	32.44608	26.9689	22.9008	25.6236	28.8955	17.032	11.5049	12.91135	20.3078	26.3507	19.92202	20.0171	39.7395	60.9922	51.0335	28.2341	13.792674	30.3065	227.02276	49.634869	92.9024	14.4891	40.926336	33.7165	15.3824	15.7822	29.332
ZFHX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEATR5B	0.304906	2.04961	0.937007	0	1.56304	2.25955	0.844453	0	1.3854	1.47607	0	1.87578	2.60724	1.29122	0	1.82798	0.946415	0.225647	0.841381	1.39827	1.40244	3.55317	0	0.425099	0.970332	1.99719	1.29214	0.730875	0.9631	0	0.910653	0	0
NMD3	2.222341305	1.0616146	0.549734	2.681782419	1.27281696	2.4510022	0.582718217	0.5464847	1.0835206	1.2379429	2.62379	0.389276727	0.891634464	2.082735616	1.409884	0.529732	0.97976491	0.0177037	10.32028309	6.4425343	4.334574	1.665487993	1.007562527	4.812283	6.702932127	5.01276	2.997065	1.331580221	0.550534037	0.599851545	1.149196246	0.711132507	3.077686995
LNPEP	0	0	0	0	0.625346	0	0	0	0	0	0	0	0	0.494829	0	0	0	0	1.33883	0	0	0	0	0	0	0	0.0626767	0	0	0	0	0	0.567851
MAP3K2	12.080231	11.979575	11.568532	10.838731	9.517042	14.19469	9.754681	8.78183	4.08211	18.282598	9.376627	16.108869	18.583795	17.98552	9.020042	9.194559	16.357877	1.731868	17.28828	3.334465	5.730112	9.742431	15.9264475	10.60985147	13.726004	11.97292	5.008773	6.1380354	9.826386	1.5136791	3.949883	5.931635	7.982035
PHF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA10	0.0453089	0.380389	0.632698	0	0.388697	0.164199	0.561379	0.06528	0.143021	0.503303	0.0790565	0	0.147215	0.388431	0.203787	0.16686	0.150959	0.0340608	0.253376	0.0679688	0.0679683	0.234999	0.240248	0.378035	0.141703	0.643555	0.0494402	0.0546764	0.548669	0.159238	0	0.0508167	0.214961
MEIS2	13.809017	17.35223	12.127991	14.469932	16.853231	10.26376	16.0680536	8.970447	11.494668	11.988546	12.962302	14.851775	15.420091	12.721535	12.061228	13.34711053	12.65654	4.9417339	8.401954376	17.0677357	15.364501	17.393129	17.19482	12.73088	1.3924216	3.554104001	8.60314	5.110717	12.647817	12.584708	13.5708073	9.50236	11.106063
SNORD3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0643343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUM1	0	0	0	0	0	0	0	5.30461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS35	0	0	0	0	0	0	0	0.285885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBTF	0	0	0.314231	0	0.127818	0	0.0690836	0.218632	0.151224	0.20083	0.0885532	0.101679	0.61296	0.142364	0.114459	0.0603184	0.0774018	0.0564945	0	0.0764334	0.0766521	0.130339	0.0665904	0	0.0398765	0.273082	0.109331	0.090599	0	0.136865	0	0.0559547	0.0393544
FAM50A	0.293756	1.6922	0.670659	4.41752	1.36707	3.21676	0.350759	1.16452	0.316722	1.7947066	2.79283	1.66724	2.271846237	2.55325	0.954821	0.338926	0.729354902	0.124704	0.77787	0.397024	0.341384	0.857304	1.32867	0.35004	1.71033	3.02436	0.5371728	1.79485	0.790907	0.740394	1.07128	2.0638816	2.11117
RAPGEF2	8.7613	0	6.95824	1.66663	10.416218	12.8796601	31.1301	9.579043	18.059785	28.96724	20.29012	0	22.331895	7.69447	17.177174	3.81747	1.93849	1.662657	0	0.182799	0	33.977009	0	0	0	0.341148	6.0752883	5.03059	9.03363	8.519067	10.24298	3.974032	5.61354
ZNF316	3.542753	0.14845	1.423031	1.846558	0.302703	47.99132	29.50789	9.5327	8.343853	17.21992	26.01575	0.819638	5.574822	0	0.666573	0.52154	0	0	0	0	1.33662	6.819739	0.575045	0	0	0.386758	4.859321	2.948762	10.95352	5.775287	5.073953	3.040582	5.092519
YTHDC2	21.142286	8.4868763	15.390179	24.464315	48.41694026	35.291945	33.853839	14.633173	2.857133	11.161626	20.85543936	41.2127355	81.597938	46.53937	35.2296473	18.03850013	1.798406	4.4799393	32.9166724	50.126703	85.941238	144.3533256	71.407913	26.576193	31.3879015	11.023997	23.1991068	43.335568	58.67744954	64.882183	43.110134	22.78994402	54.433966
FAM120A	1.16004	0.243786	1.2505	0.883171	0.995201	0.267727	2.49462	1.27472	0.573319	0.703779	0.465785	0.831197	0.672493	1.49083	0.17813	0.596938	0.135273	0.0438432	1.01187	0.712875	1.02568	1.02651	0.929509	0.73029	0	0.317809	1.11249	0.105694	1.8614	2.74191	1.16487	1.04148	1.33043
TNKS	0	0	0	0.304935	0.314735	0	0	0	0	0	0	0	0	0.387489	0.251215	0	0	0.0689833	0.349583	0	0	0	0	0	0.293513	0	0	0.427893	0	0	0	0	0
CBR4	0.892373	1.32245	1.57002	1.81142	1.96722	3.86151	2.16036	1.98775	1.67071	2.15757	2.18675	2.46813	3.15	2.27522	2.16067	1.05167	2.53188	0.24597	1.90303	1.89586	1.29524	2.36586	1.80163	1.55405	2.09204	1.6843	1.2298	1.15255	1.09861	1.12735	0.579976	1.57946	1.54415
DMXL1	61.46475087	53.053869	55.858153	41.694014	58.837255	51.473528	51.739472	49.991474	46.16867	49.928112	42.143723	54.077695	65.814495	62.646128	45.933299	41.630495	61.81403383	21.21292114	49.422828	56.7756182	55.62416	67.056509	50.097946	46.159515	52.406385	47.47649704	47.78316855	56.145682	57.068383	57.043538	52.742268	34.82049701	54.156945
RAB3GAP2	4.909593	13.5498	22.7282	3.48417	7.46082	21.08663	11.29887	14.4826	8.76644	11.4805	12.5454	5.851	18.81131	20.6971	11.13328	8.22222	6.08024	0.696817	8.69214	5.89778	7.681804	12.2279	4.05495	4.08744	5.72368	26.5686	5.08876	5.404308	4.8411	5.806356	6.436297	3.13725	9.01715
FRK	1.0863562	1.153156	2.136631	1.654068	1.201309	0.629967	2.991081	1.675319	4.6232171	1.55406654	1.001432	4.048903	4.158421652	3.877386	2.786194002	2.571151	1.754894	0.320597	3.043157	0.982885	1.13538	1.255208218	2.41327629	0.578455	0	0	1.480357003	0.532263	1.321240583	1.443655203	2.069114002	1.263235902	2.931084017
SNORD26	0.919732436	2.57801	2.2148259	9.131903	2.5726664	6.193005	4.651516	1.7656685	4.6193972	2.2265526	6.852786	4.155321077	7.691823052	7.208746	15.588191	5.294409	3.8572572	1.0973966	5.628866	3.884959	12.786881	3.838934	5.1816977	3.1055645	1.659354	0.630605	5.062068	6.186334	8.683539	9.9109351	6.3052145	2.7366891	7.826716
PCM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA28S5	7.995159	7.41064	12.775482	10.3312	8.483359	14.61183	11.010637	12.189932	12.720749	6.103835	7.816359	4.86906	5.53641	8.291424	7.893114	9.953773	17.326014	4.719787	7.631526	13.036306	12.818942	10.327097	5.5844158	8.974665	2.985059	1.98391	8.635645	7.88614	18.8760137	11.935239	10.646411	11.777427	9.737254
ABCC4	86.967485	103.907971	89.765132	76.777618	97.020893	99.902827	110.0360444	71.993803	112.997992	114.6676789	102.803687	94.521423	106.4416671	72.92749582	100.108362	89.8674824	102.861832	37.84017373	93.4105973	73.99491581	100.802692	109.1069611	117.873613	111.204531	47.6661439	69.466851	65.26650728	80.71252132	85.143009	78.428077	93.11421163	76.9339628	87.752233
KMT2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF12	0.449862	2.28873	0.694915	3.03552	4.63424	0.839961	1.88541	0	10.2772	2.92304	0	1.85996	0.642501	6.36148	3.45894	0.541168	5.61656	0.667186	1.24636	0	0.693663	1.16861	2.98485	0	0.719957	0	0.950386	2.16257	3.31395	1.45699	4.05697	0.994058	0.718709
TIAL1	3.6308	3.29554	4.52538	5.458484	4.482411	6.10261	8.6823	6.892797	4.64255	2.92706	4.77672	4.17886	4.327716	2.85178	5.84574	4.614487	14.131273	2.12939	1.53699	1.67913	3.65146	5.475822	4.455764	2.79464	1.14645	3.387	5.28186	2.79205	7.25462	3.8102	2.58006	2.02955	3.22036
