GeneSymbol,mean_expr,lm22_cell_types
FCGR3B,3343.9204689908547,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
IL7R,722.0026829553433,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MXD1,665.5712741004298,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FPR1,653.778632775458,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CCL5,573.2254347099129,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD37,572.5196673384257,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FAM65B,556.6451789633117,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FCN1,513.5297661260978,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
P2RY13,500.3102827305854,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
S100A12,494.4965339619851,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NKG7,451.09810825748065,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
GNLY,423.3337050465866,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD3E,379.14822620469243,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
AIF1,362.9824613790122,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MMP25,310.6322171180978,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LTB,296.81598610785613,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MS4A6A,295.2676081417191,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FPR2,290.8020221017934,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
HCK,283.81870197252346,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
IGSF6,281.8008909930301,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
VNN2,279.52572357498025,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ZFP36L2,274.22952615940477,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BRAF,261.6471086563235,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FAIM3,254.72531481350373,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
KLRK1,245.1939232823069,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
FFAR2,244.71206236517148,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TREM1,244.60672646099977,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MGAM,238.02014758293723,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
STEAP4,233.82974850645616,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TLR8,231.69991909869285,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BMP2K,228.46363425990216,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
TLR2,222.05884310992937,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NFE2,221.2384762358424,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
NPL,217.39478818653453,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LRMP,215.84107436707546,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD68,212.0147866900946,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD2,207.67261772912155,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
PBXIP1,197.15221119306815,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CFP,196.30563972955562,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CST7,195.08350069672048,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LST1,194.97436822204236,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
ALOX5,191.78425151170717,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
GZMA,191.16992792106214,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD247,189.75552820418267,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD4,184.8518859524424,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
GRAP2,184.2598884113118,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD79A,179.9929139608489,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LEF1,177.56946263204645,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CD3G,175.97960768249064,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CLEC2D,173.50143100500424,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
LILRB2,171.9153708433556,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CLC,163.6576989574569,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
KLRB1,162.63382230712,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CDA,160.64542289875308,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CHI3L1,159.81725777076653,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
CTSW,153.5744199532709,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
MS4A1,151.44943754254774,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
BIRC3,149.45796549393668,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
APOBEC3A,141.486548343373,B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper; T cells regulatory (Tregs); T cells gamma delta; NK cells resting; NK cells activated; Monocytes; Macrophages M0; Macrophages M1; Macrophages M2; Dendritic cells resting; Dendritic cells activated; Mast cells resting; Mast cells activated; Eosinophils; Neutrophils
